S-10B Kaldi   0 0.248588 S:21, I:2, D:21
S-10B Google  0 0.429379 S:30, I:2, D:44
S-10B Kaldi   1 0.242105 S:50, I:2, D:17
S-10B Google  1 0.389474 S:63, I:5, D:43
S-10B Kaldi   2 0.206687 S:41, I:5, D:22
S-10B Google  2 0.291793 S:48, I:4, D:44
S-10B Kaldi   3 0.212838 S:43, I:3, D:17
S-10B Google  3 0.293919 S:48, I:2, D:37
S-10B Kaldi   4 0.213483 S:65, I:5, D:25
S-10B Google  4 0.316854 S:83, I:3, D:55
S-10B Kaldi   5 0.174888 S:47, I:13, D:18
S-10B Google  5 0.260090 S:59, I:10, D:47
S-10B Kaldi   6 0.191358 S:14, I:2, D:15
S-10B Google  6 0.302469 S:27, I:0, D:22
S-10B Kaldi   7 0.240506 S:39, I:0, D:18
S-10B Google  7 0.308017 S:54, I:2, D:17
S-10B Kaldi   8 0.181102 S:26, I:5, D:15
S-10B Google  8 0.283465 S:49, I:0, D:23
S-21A Kaldi   0 0.465385 S:66, I:1, D:54
S-21A Google  0 0.665385 S:73, I:0, D:100
S-21A Kaldi   1 0.402930 S:64, I:2, D:44
S-21A Google  1 0.597070 S:63, I:0, D:100
S-21A Kaldi   2 0.418367 S:54, I:6, D:22
S-21A Google  2 0.642857 S:48, I:1, D:77
S-21A Kaldi   3 0.379775 S:88, I:4, D:77
S-21A Google  3 0.622472 S:125, I:2, D:150
S-21A Kaldi   4 0.444227 S:118, I:15, D:94
S-21A Google  4 0.624266 S:136, I:4, D:179
S-21A Kaldi   5 0.421818 S:57, I:2, D:57
S-21A Google  5 0.643636 S:76, I:4, D:97
S-21A Kaldi   6 0.436893 S:19, I:0, D:26
S-21A Google  6 0.621359 S:22, I:0, D:42
S-21A Kaldi   7 0.333333 S:8, I:0, D:4
S-21A Google  7 0.611111 S:8, I:0, D:14
S-21A Kaldi   8 0.282051 S:6, I:2, D:3
S-21A Google  8 0.461538 S:7, I:0, D:11
S-21A Kaldi   9 0.500000 S:10, I:0, D:11
S-21A Google  9 0.738095 S:13, I:0, D:18
S-21A Kaldi   10 0.298343 S:27, I:2, D:25
S-21A Google  10 0.497238 S:40, I:0, D:50
S-21A Kaldi   11 0.477528 S:39, I:0, D:46
S-21A Google  11 0.640449 S:44, I:0, D:70
S-7C Kaldi   0 0.225225 S:95, I:12, D:43
S-7C Google  0 0.322823 S:114, I:10, D:91
S-7C Kaldi   1 0.252747 S:83, I:14, D:18
S-7C Google  1 0.382418 S:106, I:8, D:60
S-7C Kaldi   2 0.231343 S:84, I:16, D:24
S-7C Google  2 0.300373 S:79, I:5, D:77
S-7C Kaldi   3 0.279534 S:98, I:4, D:66
S-7C Google  3 0.410982 S:111, I:6, D:130
S-7C Kaldi   4 0.257541 S:61, I:11, D:39
S-7C Google  4 0.348028 S:73, I:2, D:75
S-7C Kaldi   5 0.257235 S:98, I:16, D:46
S-7C Google  5 0.369775 S:105, I:5, D:120
S-19C Kaldi   0 0.400000 S:49, I:12, D:25
S-19C Google  0 0.558140 S:60, I:1, D:59
S-19C Kaldi   1 0.531915 S:30, I:1, D:19
S-19C Google  1 0.670213 S:10, I:0, D:53
S-19C Kaldi   2 0.299559 S:34, I:9, D:25
S-19C Google  2 0.475771 S:51, I:3, D:54
S-19C Kaldi   3 0.467213 S:34, I:3, D:20
S-19C Google  3 0.622951 S:34, I:2, D:40
S-19C Kaldi   4 0.328302 S:51, I:2, D:34
S-19C Google  4 0.528302 S:71, I:2, D:67
S-19C Kaldi   5 0.462500 S:42, I:7, D:25
S-19C Google  5 0.581250 S:42, I:2, D:49
S-19C Kaldi   6 0.402062 S:23, I:5, D:11
S-19C Google  6 0.463918 S:22, I:0, D:23
S-19C Kaldi   7 0.375000 S:18, I:3, D:3
S-19C Google  7 0.406250 S:15, I:1, D:10
S-19C Kaldi   8 0.223881 S:12, I:0, D:3
S-19C Google  8 0.328358 S:11, I:0, D:11
S-19C Kaldi   9 0.443038 S:18, I:1, D:16
S-19C Google  9 0.518987 S:18, I:0, D:23
S-19C Kaldi   10 0.193548 S:3, I:1, D:2
S-19C Google  10 0.451613 S:5, I:0, D:9
S-19C Kaldi   11 0.590164 S:25, I:1, D:10
S-19C Google  11 0.622951 S:19, I:0, D:19
S-27C Kaldi   0 0.221374 S:49, I:7, D:31
S-27C Google  0 0.396947 S:67, I:0, D:89
S-27C Kaldi   1 0.162939 S:26, I:7, D:18
S-27C Google  1 0.297125 S:31, I:2, D:60
S-27C Kaldi   2 0.158501 S:38, I:4, D:13
S-27C Google  2 0.368876 S:38, I:2, D:88
S-27C Kaldi   3 0.200873 S:47, I:13, D:32
S-27C Google  3 0.362445 S:50, I:9, D:107
S-27C Kaldi   4 0.162246 S:58, I:6, D:40
S-27C Google  4 0.360374 S:93, I:3, D:135
S-27C Kaldi   5 0.221649 S:129, I:11, D:75
S-27C Google  5 0.332990 S:128, I:6, D:189
S-27C Kaldi   6 0.223684 S:15, I:2, D:17
S-27C Google  6 0.388158 S:17, I:0, D:42
S-27C Kaldi   7 0.156863 S:5, I:0, D:3
S-27C Google  7 0.294118 S:5, I:0, D:10
S-27C Kaldi   8 0.347368 S:21, I:4, D:8
S-27C Google  8 0.484211 S:22, I:0, D:24
S-27C Kaldi   9 0.226415 S:14, I:3, D:7
S-27C Google  9 0.358491 S:9, I:3, D:26
S-27C Kaldi   10 0.325581 S:8, I:0, D:6
S-27C Google  10 0.441860 S:7, I:0, D:12
S-27C Kaldi   11 0.290000 S:14, I:0, D:15
S-27C Google  11 0.460000 S:14, I:1, D:31
S-23C Kaldi   0 0.196319 S:24, I:1, D:7
S-23C Google  0 0.319018 S:26, I:0, D:26
S-23C Kaldi   1 0.325123 S:44, I:3, D:19
S-23C Google  1 0.458128 S:48, I:1, D:44
S-23C Kaldi   2 0.344633 S:20, I:19, D:22
S-23C Google  2 0.423729 S:41, I:6, D:28
S-23C Kaldi   3 0.416667 S:65, I:3, D:22
S-23C Google  3 0.569444 S:69, I:1, D:53
S-23C Kaldi   4 0.272917 S:72, I:8, D:51
S-23C Google  4 0.456250 S:89, I:4, D:126
S-23C Kaldi   5 0.223368 S:35, I:4, D:26
S-23C Google  5 0.350515 S:37, I:1, D:64
S-23C Kaldi   6 0.195122 S:5, I:0, D:3
S-23C Google  6 0.365854 S:3, I:0, D:12
S-23C Kaldi   7 0.171429 S:8, I:1, D:3
S-23C Google  7 0.328571 S:16, I:0, D:7
S-23C Kaldi   8 0.325581 S:15, I:4, D:9
S-23C Google  8 0.383721 S:15, I:1, D:17
S-23C Kaldi   9 0.304348 S:5, I:2, D:0
S-23C Google  9 0.347826 S:6, I:0, D:2
S-23C Kaldi   10 0.304348 S:13, I:0, D:1
S-23C Google  10 0.652174 S:13, I:0, D:17
S-23C Kaldi   11 0.224490 S:18, I:2, D:13
S-23C Google  11 0.448980 S:30, I:2, D:34
S-6B Kaldi   0 0.432624 S:40, I:5, D:16
S-6B Google  0 0.553191 S:40, I:1, D:37
S-6B Kaldi   1 0.321951 S:45, I:6, D:15
S-6B Google  1 0.434146 S:44, I:2, D:43
S-6B Kaldi   2 0.153846 S:25, I:2, D:17
S-6B Google  2 0.314685 S:49, I:1, D:40
S-6B Kaldi   3 0.250000 S:29, I:7, D:13
S-6B Google  3 0.413265 S:42, I:0, D:39
S-6B Kaldi   4 0.326291 S:110, I:10, D:19
